gene,score,p_val
AKT1,1.9977538400882557,8.332638946754438e-05
AXL,1.2400124782612063,0.16840263311390719
BGN,0.947931034628911,0.4110490792433964
BIRC3,0.9572627470899364,0.45362886426131155
BIRC5,1.5250490288498275,0.005666194483793017
BMP2,0.8718197482604676,0.6010332472293975
BMP4,1.1488845748903074,0.1759853345554537
CALD1,1.9570623941248282,0.00016665277893508876
CAPG,2.1752862218832916,8.332638946754438e-05
CCNA2,1.296082364987446,0.05682859761686526
CCND1,1.7671835742929063,0.0002499791684026331
CD36,1.7385101803020702,0.0032497291892342305
CDK1,1.1746607555793218,0.1562369802516457
CDKN1A,1.2348249242106997,0.14732105657861844
CDKN1B,2.87742386136921,8.332638946754438e-05
COL1A1,1.4237253265242773,0.07799350054162153
COL5A2,1.2791099702092825,0.14357136905257895
COL9A3,2.5061432489441464,8.332638946754438e-05
CTNNB1,1.5579189341177322,0.004332972252312307
DCN,1.1399563482144375,0.22114823764686276
DKK3,0.994852383929952,0.5086242813098908
EGFR,1.1510592600312435,0.1607366052828931
ERBB3,1.8296441175309455,0.0005832847262728105
ESPN,2.939360115198082,8.332638946754438e-05
FGF1,1.1773217734083146,0.20048329305891177
FGFR1,1.3801901470961755,0.05541204899591701
FN1,2.226206690803029,8.332638946754438e-05
FOS,3.5812865081475276,8.332638946754438e-05
FOSB,4.19352147372039,8.332638946754438e-05
FOSL1,1.4067417621655314,0.037996833597200234
FOSL2,2.210999638122226,0.002249812515623698
FOXF2,1.1349012765332824,0.20564952920589952
GFP,1.7203886128469805,0.0039996666944421295
GPX8,2.707668247497713,8.332638946754438e-05
GTSE1,1.310043358854354,0.05016248645946171
HIF1A,1.8996570181173373,0.00016665277893508876
HK2,3.2860147498530594,8.332638946754438e-05
IFIT2,0.4919222301643068,0.9045912840596617
IGFBP2,1.704755935871491,0.00133322223148071
IGFBP7,1.2769147322279626,0.19148404299641697
IRX3,1.1269899881126297,0.20339971669027582
ITGA3,2.213473082681098,8.332638946754438e-05
ITGA5,1.282492414205629,0.09707524372968919
ITGA6,1.6923172583613177,0.00133322223148071
ITGA8,1.038135327986474,0.3716356970252479
ITGAV,1.1319000469938023,0.1938171819015082
JUN,7.430929186187646,8.332638946754438e-05
KIT,0.6650400627794552,0.9805849512540622
KLF4,2.086093992261477,8.332638946754438e-05
L1CAM,4.836598979631517,8.332638946754438e-05
LMOD1,0.9527942173254498,0.5531205732855595
LOXL2,4.832258610496119,8.332638946754438e-05
MAPK14,0.997498294790517,0.4636280309974169
MEF2C,1.5857020952747483,0.003166402799766686
MERTK,0.8775263519975937,0.7590200816598617
MET,1.5770222229489392,0.005249562536455295
MITF,1.8100703750873701,0.0002499791684026331
MKI67,0.9939098365020671,0.4702108157653529
MLANA,1.891566013608529,8.332638946754438e-05
MMP1,0.558746995199345,0.7300224981251562
MMP11,1.1130888096104785,0.2513957170235814
MT-RNR2,2.2629553429568285,8.332638946754438e-05
MYBL2,1.7711090871340658,0.0002499791684026331
MYC,1.4587530793947585,0.0118323473043913
MYLK,1.1608822868260271,0.17115240396633613
MYOCD,1.0225442722177849,0.42563119740021665
NANOG,0.8561070069346978,0.7537705191234064
NCAM1,1.2298579863478412,0.09057578535122073
NFATC2,1.631218733481223,0.004999583368052662
NFE2L2,1.3843878062000263,0.021081576535288724
NGFR,0.9388846627863272,0.563453045579535
NOTCH3,1.1734989209888096,0.1568202649779185
NOTCH4,0.7515115967596736,0.9570035830347471
NRG1,0.9451024380209178,0.6389467544371302
NT5E,1.3302554249408907,0.04891259061744854
OASL,0.6679785710536021,0.6819431714023831
PDGFA,1.2676752114026237,0.09932505624531289
PDGFC,0.9267954736735688,0.6454462128155987
PDGFRB,0.8122011978079318,0.8202649779185068
PKDCC,1.3967936047789475,0.020664944587951005
PRKCA,1.1757439548616107,0.15315390384134656
PRRX1,1.4688442449082697,0.01849845846179485
RGS2,4.330489874967504,8.332638946754438e-05
RIGI,1.075976653741343,0.3264727939338388
